date,orders,active_customers,gross_revenue,return_revenue,items_sold,rows,net_revenue
2011-01-24,61,46,25555.62,-178.17000000000002,12029.0,1485,25555.62
2011-01-25,86,71,27971.52,-1105.9499999999998,15614.0,1654,27971.52
2011-01-26,71,57,19493.32,-428.97,10976.0,1289,19493.32
2011-01-27,88,63,21092.14,-2638.7000000000003,11577.0,1575,21092.14
2011-01-28,100,44,18567.77,-1522.88,18145.0,1008,18567.77
2011-01-30,25,22,6456.4400000000005,-159.31,3431.0,722,6456.4400000000005
2011-01-31,85,64,22364.65,-1275.7100000000005,13415.0,1509,22364.65
2011-02-01,86,65,28433.22,-601.7700000000001,15851.0,1574,28433.22
2011-02-02,74,59,21048.45,-167.75,9732.0,1411,21048.45
2011-02-03,53,48,23344.58,-135.25,16999.0,989,23344.58
2011-02-04,75,42,24994.17,-168.01999999999998,14077.0,1232,24994.17
2011-02-06,11,11,3457.11,0.0,2048.0,279,3457.11
2011-02-07,53,39,25525.99,-429.02,9143.0,1261,25525.99
2011-02-08,58,42,20728.14,-221.78,10254.0,1228,20728.14
2011-02-09,31,22,16692.58,0.0,7165.0,879,16692.58
2011-02-10,66,58,13427.54,-1468.9200000000003,11909.0,785,13427.54
2011-02-11,95,70,20387.28,-2485.82,10549.0,957,20387.28
2011-02-13,24,21,5535.4,-178.23,2756.0,624,5535.4
2011-02-14,55,46,26222.03,-481.48,13595.0,1108,26222.03
2011-02-15,70,48,36842.58,-3033.16,22720.0,1335,36842.58
2011-02-16,69,56,24730.81,-218.29,16156.0,1191,24730.81
2011-02-17,73,51,26361.87,-10.8,14548.0,1719,26361.87
2011-02-18,67,49,15928.4,-280.35,9246.0,854,15928.4
2011-02-20,29,26,9578.89,-45.8,5353.0,864,9578.89
2011-02-21,59,41,23807.83,-12580.920000000002,21589.0,1425,23807.83
2011-02-22,64,52,32292.62,-205.73,21902.0,1593,32292.62
2011-02-23,68,53,26792.76,-98.84,13767.0,1578,26792.76
2011-02-24,66,57,22655.83,-154.01,11896.0,1294,22655.83
2011-02-25,51,44,18029.84,-2565.9,10573.0,978,18029.84
2011-02-27,35,31,9491.05,-35.45,4870.0,812,9491.05
2011-02-28,61,49,21753.68,-1.95,9997.0,1737,21753.68
2011-03-01,67,52,25471.71,-883.25,12145.0,1361,25471.71
2011-03-02,67,58,18296.45,-394.34,8617.0,935,18296.45
2011-03-03,85,62,35842.62,-561.38,20163.0,1389,35842.62
2011-03-04,56,38,19474.87,-31.93,13779.0,1107,19474.87
2011-03-06,35,28,9596.23,-409.13999999999993,5049.0,844,9596.23
2011-03-07,107,74,30525.58,-1830.97,14064.0,1971,30525.58
2011-03-08,61,43,25017.47,-64.14999999999999,14571.0,1600,25017.47
2011-03-09,79,51,21907.12,-131.72,15182.0,1277,21907.12
2011-03-10,90,69,25597.89,-522.3299999999999,16515.0,1131,25597.89
2011-03-11,66,47,21995.28,-3479.9000000000005,10870.0,959,21995.28
2011-03-13,17,16,4137.62,-10.5,2749.0,537,4137.62
2011-03-14,61,49,25864.59,-154.95999999999998,16765.0,1111,25864.59
2011-03-15,65,45,20660.03,-2833.46,9080.0,1292,20660.03
2011-03-16,59,49,21182.64,-765.72,12947.0,874,21182.64
2011-03-17,88,74,38804.25,-1100.69,21002.0,2074,38804.25
2011-03-18,76,51,16770.460000000003,-11401.33,14052.0,1379,16770.460000000003
2011-03-20,64,57,21980.64,-172.85,14195.0,1453,21980.64
2011-03-21,69,58,16370.27,-345.24999999999994,10311.0,1068,16370.27
2011-03-22,83,42,31312.35,-203.23,16664.0,2384,31312.35
2011-03-23,88,58,24029.07,-62.6,14462.0,1319,24029.07
2011-03-24,95,69,36562.1,-135.04,18569.0,1577,36562.1
2011-03-25,67,51,30656.03,-738.1800000000001,14179.0,1386,30656.03
2011-03-27,46,43,8979.98,-261.37,4530.0,737,8979.98
2011-03-28,85,53,19207.03,-3969.69,13526.0,1672,19207.03
2011-03-29,95,51,70531.47,-180.45,32916.0,1983,70531.47
2011-03-30,118,75,31489.25,-396.03,21132.0,1590,31489.25
2011-03-31,94,71,31004.08,-3331.82,16916.0,1738,31004.08
2011-04-01,107,68,24391.78,-1275.73,18564.0,1261,24391.78
2011-04-03,22,18,6878.1,-65.05000000000001,5679.0,731,6878.1
2011-04-04,81,57,25073.02,-8181.219999999999,14015.0,1705,25073.02
2011-04-05,96,54,28353.83,-1790.9400000000005,16056.0,1215,28353.83
2011-04-06,89,42,17279.35,-83.01,9524.0,1122,17279.35
2011-04-07,81,65,18229.0,-283.89,10545.0,1527,18229.0
2011-04-08,136,72,23299.14,-1996.5,13219.0,1441,23299.14
2011-04-10,37,32,9363.88,-550.1,5632.0,940,9363.88
2011-04-11,74,60,22110.31,-242.95999999999995,13640.0,1259,22110.31
2011-04-12,81,63,25124.25,-446.05,15341.0,1152,25124.25
2011-04-13,79,64,23898.2,-586.22,18769.0,1052,23898.2
2011-04-14,109,90,35295.58,-808.49,18878.0,1608,35295.58
2011-04-15,57,40,28327.131,-6.99,12729.0,1483,28327.131
2011-04-17,44,39,12704.3,-21.2,8183.0,968,12704.3
2011-04-18,96,67,32185.61,-23840.570000000003,31494.0,3208,32185.61
2011-04-19,75,64,23837.65,-501.05000000000007,14482.0,1887,23837.65
2011-04-20,89,67,28239.39,-431.08,18390.0,1025,28239.39
2011-04-21,112,69,31198.6,-1417.03,18394.0,1930,31198.6
2011-04-26,86,62,30585.54,-461.89,16173.0,1903,30585.54
2011-04-27,92,64,25590.56,-351.87999999999994,18627.0,1307,25590.56
2011-04-28,101,60,21241.9,-1259.65,13842.0,1192,21241.9
2011-05-01,21,18,6964.66,-8.999999999999998,3819.0,452,6964.66
2011-05-03,126,62,19617.86,-15611.55,12606.0,1449,19617.86
2011-05-04,77,62,27462.3,-81.85,17385.0,1161,27462.3
2011-05-05,110,93,28750.65,-423.64,17483.0,1838,28750.65
2011-05-06,113,69,35714.58,-411.77,20424.0,2051,35714.58
2011-05-08,67,58,18808.92,-58.48,10702.0,1506,18808.92
2011-05-09,84,63,26060.43,-1839.28,13359.0,1766,26060.43
2011-05-10,116,74,45564.12,-2255.859999999999,19802.0,2586,45564.12
2011-05-11,97,66,33240.36,-446.89,18913.0,1701,33240.36
2011-05-12,106,84,59911.97,-1991.12,37833.0,1965,59911.97
2011-05-13,77,52,30744.07,-5.88,15247.0,1425,30744.07
2011-05-15,31,29,9924.28,0.0,4898.0,809,9924.28
2011-05-16,87,54,25279.77,-14371.509999999998,16020.0,1609,25279.77
2011-05-17,121,81,53603.83,-1548.16,27143.0,1932,53603.83
2011-05-18,89,66,34337.29,-146.15,19073.0,1366,34337.29
2011-05-19,124,96,34348.75,-1250.6,18347.0,1949,34348.75
2011-05-20,90,71,26256.52,-461.65,15504.0,1129,26256.52
2011-05-22,62,57,24205.37,-25.72,12749.0,1564,24205.37
2011-05-23,122,74,30739.55,-3946.05,18231.0,1646,30739.55
2011-05-24,101,76,37028.91,-631.13,15991.0,1750,37028.91
2011-05-25,91,60,24152.28,-255.84000000000003,14638.0,1322,24152.28
2011-05-26,78,58,33208.59,-288.44,16349.0,971,33208.59
2011-05-27,85,63,28232.19,-209.84,17022.0,1170,28232.19
2011-05-29,25,20,7208.3,-186.0,4124.0,632,7208.3
2011-05-31,62,53,21967.96,-746.1000000000001,11763.0,1281,21967.96
2011-06-01,65,55,20191.2,-404.49,10990.0,1456,20191.2
2011-06-02,86,54,32502.01,-324.13000000000005,14657.0,1588,32502.01
2011-06-03,53,40,16751.0,-162.25,7691.0,858,16751.0
2011-06-05,70,62,25520.35,-119.19000000000004,13501.0,1561,25520.35
2011-06-06,73,66,16791.39,-997.6800000000002,9462.0,1229,16791.39
2011-06-07,98,83,37644.3,-313.42,18768.0,1926,37644.3
2011-06-08,113,75,42940.91,-323.42,21284.0,2327,42940.91
2011-06-09,110,88,45515.75,-873.3499999999999,32363.0,1850,45515.75
2011-06-10,92,51,22540.660000000003,-39693.77999999999,11043.0,1067,22540.660000000003
2011-06-12,40,38,12483.86,-33.2,9491.0,1075,12483.86
2011-06-13,87,72,20372.93,-2084.28,11302.0,1472,20372.93
2011-06-14,66,45,40211.93,-262.08,14624.0,1587,40211.93
2011-06-15,90,48,46139.18,-2958.81,30720.0,1718,46139.18
2011-06-16,107,82,34131.73,-452.9500000000001,20315.0,1534,34131.73
2011-06-17,62,39,20800.72,-275.45,11764.0,961,20800.72
2011-06-19,64,57,22360.01,-82.16999999999999,15081.0,1167,22360.01
2011-06-20,102,64,33493.4,-4021.58,16734.0,2020,33493.4
2011-06-21,85,63,22730.01,-2054.36,14275.0,1538,22730.01
2011-06-22,68,57,21794.94,-31.05,15840.0,1017,21794.94
2011-06-23,90,74,24273.31,-969.51,14739.0,1973,24273.31
2011-06-24,63,45,8619.88,-10902.080000000004,9985.0,1039,8619.88
2011-06-26,36,30,6175.17,-907.32,3786.0,708,6175.17
2011-06-27,61,42,16823.86,-191.9,9918.0,1182,16823.86
2011-06-28,84,48,34704.64,-902.6799999999998,21934.0,1043,34704.64
2011-06-29,67,44,21775.43,-312.89,12111.0,1358,21775.43
2011-06-30,80,59,43834.55,-962.76,21959.0,1620,43834.55
2011-07-01,70,41,13171.82,-503.24,7813.0,1027,13171.82
2011-07-03,27,24,5977.14,-55.25,3117.0,602,5977.14
2011-07-04,64,40,44154.75,-498.0799999999999,15736.0,2200,44154.75
2011-07-05,88,67,40334.97,-423.46,22131.0,2202,40334.97
2011-07-06,77,65,26279.58,-107.96,19323.0,1816,26279.58
2011-07-07,93,79,31357.72,-1087.99,19803.0,1940,31357.72
2011-07-08,93,52,26840.08,-242.02,12738.0,1630,26840.08
2011-07-10,29,20,5692.07,-301.79999999999995,4255.0,820,5692.07
2011-07-11,68,49,22429.53,-175.49,15177.0,1515,22429.53
2011-07-12,66,52,25892.04,-370.50999999999993,13981.0,1667,25892.04
2011-07-13,66,53,11612.05,-11029.89,16300.0,1618,11612.05
2011-07-14,91,70,32575.96,-1026.17,20881.0,1734,32575.96
2011-07-15,62,41,14478.93,-357.5,7405.0,1136,14478.93
2011-07-17,53,45,17174.66,-19.9,11044.0,1248,17174.66
2011-07-18,107,56,28443.27,-10388.340000000002,15305.0,2234,28443.27
2011-07-19,88,71,49316.78,-866.05,29349.0,1667,49316.78
2011-07-20,75,51,27305.41,-6002.83,17737.0,2015,27305.41
2011-07-21,106,74,30957.07,-1861.4700000000005,20091.0,1570,30957.07
2011-07-22,58,42,20015.23,-109.63,10302.0,1301,20015.23
2011-07-24,63,55,26476.2,-623.26,17670.0,1125,26476.2
2011-07-25,70,53,26687.65,-199.5,16100.0,1946,26687.65
2011-07-26,89,57,21271.301,-372.96,14056.0,1279,21271.301
2011-07-27,86,40,25568.45,-34.480000000000004,14142.0,1259,25568.45
2011-07-28,125,90,55706.88,-562.86,30584.0,1565,55706.88
2011-07-29,70,60,18094.21,-696.19,11621.0,1131,18094.21
2011-07-31,43,37,33486.36,-4.25,20878.0,1271,33486.36
2011-08-01,51,38,21362.84,-26.08,11722.0,1200,21362.84
2011-08-02,61,53,14947.27,-11633.330000000002,15721.0,1369,14947.27
2011-08-03,84,70,27075.02,-1038.12,16623.0,1560,27075.02
2011-08-04,99,80,61028.65,-4473.56,41148.0,1839,61028.65
2011-08-05,66,51,21298.3,-240.28,12818.0,1455,21298.3
2011-08-07,33,28,7464.12,-114.79,5186.0,541,7464.12
2011-08-08,57,49,19987.15,-3390.5,13412.0,1490,19987.15
2011-08-09,60,51,26623.2,-1056.24,16261.0,1119,26623.2
2011-08-10,62,51,27474.22,-1318.12,14423.0,1376,27474.22
2011-08-11,85,71,72132.79,-301.0,40299.0,1984,72132.79
2011-08-12,61,42,10049.48,-57.75000000000001,12024.0,1122,10049.48
2011-08-14,37,31,5150.18,-568.3900000000001,3180.0,557,5150.18
2011-08-15,54,48,17205.54,-38.43,10201.0,926,17205.54
2011-08-16,63,48,19103.71,-135.95,11262.0,1035,19103.71
2011-08-17,64,47,49392.22,-4107.74,25715.0,1666,49392.22
2011-08-18,100,83,53225.67,-881.2600000000001,34174.0,1539,53225.67
2011-08-19,61,59,17248.54,-101.05,10672.0,819,17248.54
2011-08-21,42,37,14549.21,-27.65,8169.0,1070,14549.21
2011-08-22,68,60,27978.41,-1673.05,15556.0,1272,27978.41
2011-08-23,73,62,25756.3,-237.38,15181.0,1458,25756.3
2011-08-24,102,79,37074.9,-11960.46,29522.0,1876,37074.9
2011-08-25,93,80,22458.88,-1368.58,13487.0,1342,22458.88
2011-08-26,55,43,25550.23,-76.21000000000001,18175.0,929,25550.23
2011-08-28,39,36,10784.78,-20.25,6774.0,1200,10784.78
2011-08-30,50,28,31640.9,-225.41000000000005,10304.0,3235,31640.9
2011-08-31,117,72,16118.0,-9262.170000000002,13007.0,1305,16118.0
2011-09-01,81,72,37296.6,-73.55,27858.0,1405,37296.6
2011-09-02,107,67,41745.07,-576.9499999999999,18956.0,2376,41745.07
2011-09-04,53,46,17018.49,-101.1,10963.0,1343,17018.49
2011-09-05,78,60,36844.04,-313.1,23653.0,1587,36844.04
2011-09-06,70,55,28052.62,-297.29,15090.0,1140,28052.62
2011-09-07,60,45,34125.65,-287.88,16392.0,2112,34125.65
2011-09-08,90,64,26708.0,-487.8,17468.0,1779,26708.0
2011-09-09,88,68,29317.69,-757.9299999999998,17405.0,1607,29317.69
2011-09-11,78,68,35465.47,-46.2,21146.0,2032,35465.47
2011-09-12,96,80,29039.31,-699.02,17663.0,1702,29039.31
2011-09-13,82,64,54828.45,-288.6,36936.0,2438,54828.45
2011-09-14,93,68,23360.66,-232.32,14334.0,1376,23360.66
2011-09-15,115,92,62943.81,-15275.140000000005,29324.0,2197,62943.81
2011-09-16,84,50,25858.06,-1866.16,16009.0,1475,25858.06
2011-09-18,28,25,15692.33,-53.4,8994.0,1274,15692.33
2011-09-19,100,79,46212.21,-3057.67,29394.0,1436,46212.21
2011-09-20,77,56,109286.21,-325.81999999999994,43733.0,1718,109286.21
2011-09-21,107,84,42944.07,-5616.609999999999,22334.0,3129,42944.07
2011-09-22,148,111,57076.83,-2277.96,33225.0,2748,57076.83
2011-09-23,98,71,39426.48,-1175.27,21912.0,2642,39426.48
2011-09-25,78,74,31210.921,-161.74,19505.0,1987,31210.921
2011-09-26,79,66,28642.271,-692.9,15353.0,1554,28642.271
2011-09-27,115,84,35752.16,-570.7900000000002,21965.0,1897,35752.16
2011-09-28,112,93,43383.04,-366.02,25559.0,2877,43383.04
2011-09-29,116,97,43464.33,-2937.12,27682.0,2508,43464.33
2011-09-30,94,70,43992.85,-364.21,22563.0,1887,43992.85
2011-10-02,36,32,11623.58,-10.95,8385.0,1429,11623.58
2011-10-03,91,53,64214.78,-2162.04,26003.0,2296,64214.78
2011-10-04,104,74,48240.84,-569.81,25806.0,2797,48240.84
2011-10-05,104,82,75244.43,-349.20000000000005,46338.0,2447,75244.43
2011-10-06,218,154,55306.28,-7584.91,36847.0,3189,55306.28
2011-10-07,108,80,47538.02,-6252.679999999999,31090.0,2426,47538.02
2011-10-09,41,35,11922.24,-602.16,7556.0,1292,11922.24
2011-10-10,139,95,44265.89,-3973.29,26212.0,3232,44265.89
2011-10-11,105,78,38267.75,-14305.19,28524.0,2467,38267.75
2011-10-12,110,78,29302.85,-2856.4300000000003,17915.0,2193,29302.85
2011-10-13,106,79,37067.17,-379.01,19108.0,2358,37067.17
2011-10-14,88,63,35225.54,-1122.1,18268.0,1810,35225.54
2011-10-16,39,32,21605.44,-405.52,8770.0,1254,21605.44
2011-10-17,108,87,47064.14,-4998.06,31410.0,2944,47064.14
2011-10-18,109,79,44637.84,-694.3199999999999,29588.0,2908,44637.84
2011-10-19,107,87,36003.43,-6569.929999999999,19260.0,2318,36003.43
2011-10-20,106,89,60793.14,-329.76000000000005,40919.0,2350,60793.14
2011-10-21,69,59,62961.26,-265.38,24793.0,1404,62961.26
2011-10-23,45,40,12302.41,-36.75,7073.0,1728,12302.41
2011-10-24,141,84,38407.72,-10345.19,26527.0,2976,38407.72
2011-10-25,112,69,40807.49,-507.15,27073.0,2492,40807.49
2011-10-26,107,83,37842.08,-217.35,21343.0,1930,37842.08
2011-10-27,137,113,47480.15,-9811.570000000003,33910.0,2540,47480.15
2011-10-28,101,67,39559.47,-1006.23,24162.0,1641,39559.47
2011-10-30,97,88,34545.28,-25.95,20068.0,2907,34545.28
2011-10-31,109,64,48475.45,-8893.7,21797.0,3414,48475.45
2011-11-01,105,88,28741.55,-413.6,16913.0,1786,28741.55
2011-11-02,116,87,45239.06,-649.28,28768.0,2632,45239.06
2011-11-03,124,95,62816.55,-744.9399999999999,34618.0,2419,62816.55
2011-11-04,143,105,60081.76,-2895.6000000000004,35438.0,3011,60081.76
2011-11-06,104,88,42912.4,-33.940000000000005,23309.0,3437,42912.4
2011-11-07,115,90,70001.08,-15880.73,31395.0,2099,70001.08
2011-11-08,144,122,56647.66,-1052.58,26538.0,4070,56647.66
2011-11-09,127,102,62599.43,-3528.14,38269.0,2716,62599.43
2011-11-10,141,111,54891.21,-2052.02,32019.0,2528,54891.21
